txn_id,user_id,amount_inr,ip_risk_score,distance_from_home_km,is_vpn,status,true_label
txn_9969f380,user_8630,48119.15,90,6535,True,BLOCKED,FRAUD
txn_be2d3888,user_7757,41246.55,91,1037,True,BLOCKED,FRAUD
txn_1aaa5939,user_7017,45373.92,77,469,True,BLOCKED,LEGITIMATE
txn_66a317fd,user_3135,14398.67,85,4616,True,BLOCKED,FRAUD
txn_58f6abae,user_9845,13149.32,93,5364,True,BLOCKED,FRAUD
txn_4290486d,user_6134,2296.57,90,6177,True,BLOCKED,FRAUD
txn_bbfbe883,user_6707,45131.39,62,332,False,BLOCKED,LEGITIMATE
txn_e379ac5f,user_5103,30849.22,62,379,True,BLOCKED,LEGITIMATE
txn_2f8aaf23,user_1041,18182.16,93,7510,True,BLOCKED,FRAUD
txn_9466f310,user_4654,28454.89,93,7533,True,BLOCKED,FRAUD
txn_a7f4f305,user_1107,11003.67,96,1771,True,BLOCKED,FRAUD
txn_db5d1c6b,user_5014,39233.11,85,8153,True,BLOCKED,FRAUD
txn_636431f8,user_7936,7224.9,97,7672,True,BLOCKED,FRAUD
txn_00e347a0,user_3670,28310.83,94,4911,True,BLOCKED,FRAUD
txn_dfb7da5a,user_8488,16136.15,86,2888,True,BLOCKED,FRAUD
txn_28d94e31,user_1910,34612.56,92,1055,True,BLOCKED,FRAUD
txn_fbedd1bf,user_8969,7063.33,90,7960,True,BLOCKED,FRAUD
txn_d2ef7702,user_2565,4646.56,62,498,True,BLOCKED,LEGITIMATE
txn_0df307e3,user_8736,34211.66,89,1253,True,BLOCKED,FRAUD
txn_df0cd005,user_5195,49139.09,61,331,True,BLOCKED,LEGITIMATE
txn_9a2bdf23,user_8471,45901.22,98,1403,True,BLOCKED,FRAUD
txn_ff178088,user_5002,44484.34,90,3504,True,BLOCKED,FRAUD
txn_e8a5fb5b,user_8264,33770.06,95,1793,True,BLOCKED,FRAUD
txn_fe3a2d17,user_7875,5303.25,91,8557,True,BLOCKED,FRAUD
txn_062b53c0,user_7885,31459.28,93,1294,True,BLOCKED,FRAUD
txn_8259f04c,user_6320,37323.04,95,5507,True,BLOCKED,FRAUD
txn_1fef226e,user_3899,20607.22,92,8616,True,BLOCKED,FRAUD
txn_d9842867,user_1749,12473.34,88,2723,True,BLOCKED,FRAUD
txn_d0d8c475,user_7946,24304.47,72,301,True,BLOCKED,LEGITIMATE
txn_524e4b7b,user_7977,44104.92,89,1693,True,BLOCKED,FRAUD
txn_d1f6c1ac,user_6871,7735.28,87,6286,True,BLOCKED,FRAUD
txn_c1917021,user_5454,11991.04,64,486,True,BLOCKED,LEGITIMATE
txn_ec1a73a4,user_4375,37346.2,99,8732,True,BLOCKED,FRAUD
txn_bc21ad91,user_1448,39085.28,93,3431,True,BLOCKED,FRAUD
txn_79385dd5,user_9200,19004.85,98,4009,True,BLOCKED,FRAUD
txn_09f8d002,user_7363,45510.93,93,5240,True,BLOCKED,FRAUD
txn_bfc344ff,user_4850,38981.21,89,4644,True,BLOCKED,FRAUD
txn_062e7270,user_8899,19333.24,96,1015,True,BLOCKED,FRAUD
txn_9d0426e8,user_3192,36582.14,76,130,False,BLOCKED,LEGITIMATE
txn_72dc46e8,user_5249,48913.87,92,2137,True,BLOCKED,FRAUD
txn_f893f9ba,user_9128,39998.81,85,7620,True,BLOCKED,FRAUD
txn_6e219c8c,user_5364,8093.48,60,144,False,BLOCKED,LEGITIMATE
txn_31ac23a7,user_5068,28747.79,76,305,True,BLOCKED,LEGITIMATE
txn_7575f30f,user_6706,13473.9,99,6074,True,BLOCKED,FRAUD
txn_5a396445,user_6414,43679.38,77,487,False,BLOCKED,LEGITIMATE
txn_5c324324,user_9426,11960.69,99,6162,True,BLOCKED,FRAUD
txn_9f6f7993,user_1209,21342.42,81,199,True,BLOCKED,LEGITIMATE
txn_ae735453,user_6624,31365.55,86,9219,True,BLOCKED,FRAUD
txn_de7dc747,user_5737,19575.37,96,2046,True,BLOCKED,FRAUD
txn_8aea1299,user_6397,44659.17,61,276,False,BLOCKED,LEGITIMATE
txn_3175e55c,user_5464,3608.6,98,6144,True,BLOCKED,FRAUD
txn_8026ee37,user_6300,27099.55,98,2797,True,BLOCKED,FRAUD
txn_806852d5,user_2344,13532.54,87,8711,True,BLOCKED,FRAUD
txn_2454a6e0,user_8223,16180.37,64,130,True,BLOCKED,LEGITIMATE
txn_c4393fdd,user_6673,10504.02,93,2427,True,BLOCKED,FRAUD
txn_8c90a4d1,user_4073,9430.87,95,1550,True,BLOCKED,FRAUD
txn_1f4ce481,user_3727,1303.71,86,5266,True,BLOCKED,FRAUD
txn_a913b2ce,user_4655,19805.81,96,6307,True,BLOCKED,FRAUD
txn_62c85b9d,user_9933,43048.28,82,487,False,BLOCKED,LEGITIMATE
txn_43b9d756,user_3149,34200.58,60,495,False,BLOCKED,LEGITIMATE
txn_3ddc3865,user_7321,40639.8,97,3566,True,BLOCKED,FRAUD
txn_4e00868e,user_1257,41424.95,94,3446,True,BLOCKED,FRAUD
txn_ae483551,user_7983,19471.22,99,2185,True,BLOCKED,FRAUD
txn_4164e246,user_5678,3747.84,90,2036,True,BLOCKED,FRAUD
txn_c1487a11,user_3498,47987.39,73,82,True,BLOCKED,LEGITIMATE
txn_a54f4bd1,user_4089,38341.84,91,1156,True,BLOCKED,FRAUD
txn_4cba1505,user_7836,35765.97,82,188,True,BLOCKED,LEGITIMATE
txn_93f72d2a,user_9031,2908.39,91,4035,True,BLOCKED,FRAUD
txn_50e62bf9,user_8305,26574.72,69,311,True,BLOCKED,LEGITIMATE
txn_d6135de3,user_9848,19351.35,99,1127,True,BLOCKED,FRAUD
txn_b6c3c912,user_2367,27982.3,91,4087,True,BLOCKED,FRAUD
txn_af1cb342,user_7751,33529.45,85,203,False,BLOCKED,LEGITIMATE
txn_c1b5da0f,user_1449,32751.37,99,4033,True,BLOCKED,FRAUD
txn_c5aeaa13,user_7270,37976.61,95,8304,True,BLOCKED,FRAUD
txn_9e182a1f,user_2763,32468.02,92,4625,True,BLOCKED,FRAUD
txn_2237e20b,user_7988,49560.3,96,2581,True,BLOCKED,FRAUD
txn_75c5faa1,user_7990,27823.0,95,2367,True,BLOCKED,FRAUD
txn_172a009a,user_5678,11638.13,94,3125,True,BLOCKED,FRAUD
txn_e22c679c,user_8312,8720.68,65,265,True,BLOCKED,LEGITIMATE
txn_f130a4ed,user_4420,18026.13,98,8590,True,BLOCKED,FRAUD
txn_1fc11ba3,user_6106,14173.54,89,8667,True,BLOCKED,FRAUD
txn_cb32f452,user_7477,7091.23,91,4256,True,BLOCKED,FRAUD
txn_85ed7460,user_2656,49308.59,98,2740,True,BLOCKED,FRAUD
txn_f1109d5a,user_7609,20020.49,90,9981,True,BLOCKED,FRAUD
